Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.2143E-17,0.023358,0.0037408,0,0,0,0.16801,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/base_link.STL,,增高块-5;肩膀1-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0059224,0.010175,0.00014966,0,0,0,0.26517,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link1.STL,1,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link1.STL,,外径80 5Nm力矩电机-1;肩膀2-1;增高块-4,坐标系1,基准轴1,joint1,revolute,0,0.047,0,0,0,0,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
link2,0.012682,0.019753,-0.0006504,0,0,0,0.32939,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link2.STL,1,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link2.STL,,外径80 5Nm力矩电机-2;大臂1-1;增高块-3,坐标系2,基准轴2,joint2,revolute,-0.0195,0.063417,0,0,0,0,link1,1,0,0,100,3,-3.14,3.14,,,,,,,,
link3,-0.0029722,0.066085,0.00036808,0,0,0,0.49166,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link3.STL,1,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link3.STL,,外径80 5Nm力矩电机-3;大臂2-1;大臂3-1;增高块-2,坐标系3,基准轴3,joint3,revolute,0.014,0.0945,0,0,0,0,link2,0,-1,0,100,3,-3.14,3.14,,,,,,,,
link4,-0.017028,0.03919,-0.00025351,0,0,0,0.42102,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link4.STL,1,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link4.STL,,外径80 5Nm力矩电机-4;小臂1-2;增高块-1,坐标系4,基准轴4,joint4,revolute,0.0185,0.2,0,0,0,0,link3,-1,0,0,100,3,-3.14,3.14,,,,,,,,
link5,2.8341E-07,0.03315,-0.01156,0,0,0,0.46212,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link5.STL,1,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link5.STL,,外径80 5Nm力矩电机-5;小臂3-1;小臂4-1;手臂视觉-2;hex head bolts-full thread grade c gb-3,坐标系5,基准轴5,joint5,revolute,-0.022,0.1485,0,0,0,0,link4,0,-1,0,100,3,-3.14,3.14,,,,,,,,
link6,1.4225E-16,-0.03077,-0.00018919,0,0,0,0.12962,1,0,0,1,0,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://mech_arm_endeff_v01/meshes/link6.STL,,柔性夹爪2总装-1/夹爪2 夹爪.STEP-1;柔性夹爪2总装-1/夹爪2 夹爪.STEP-2;柔性夹爪2总装-1/夹爪2 夹爪安装块.STEP-2;柔性夹爪2总装-1/夹爪2 夹爪安装块.STEP-1;柔性夹爪2总装-1/夹爪2 42-60丝杆步进电机.STEP-1;柔性夹爪2总装-1/夹爪2 42步进丝杆螺母.STEP-1;柔性夹爪2总装-1/夹爪2 步进丝杆螺母连接块.STEP-1;柔性夹爪2总装-1/夹爪2 步进夹爪中间块.STEP-2;柔性夹爪2总装-1/夹爪2 二爪夹爪步进连接块.STEP-1;柔性夹爪2总装-1/夹爪2 步进夹爪中间块.STEP-1,坐标系6,基准轴6,joint6,fixed,0,0.239,0,0,0,0,link5,0,0,0,0,0,0,0,,,,,,,,
